comb,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,
51,  0,  1,  1,  1,  1,  0,  0,  2,  2,  2,  2,  1,  0,  2,  1,  0,  1,  1,  1,  1,  0,  1,  1,  0,  2,  0,  1,  2,  1,  1,  1,  0,  2,  0,  1,  1,  0,  2,  0,  0,  2,  2,  1,  0,  1,  1,  1,  1,  1,  0,   ,  1,  1,  2,  2,  0,  0,  4,  1,  1,  1,  1,  1,  2,  3,  1,  0,  0,  1,  0,  1,  1,  1,  1,  2,  0,  0,  1,  0,  2,  2,  2,  2,  0,  0,  0,  0,  0,  1,  2,  1,  2,  1,  0,  1,  1,  2,  0,  1,  2,  1,  0,  0,  1,  2,  1,  1,  2,  1,  0,  1,  1,  2,  1,  1,  0,  0,  1,  1,  2,  1,  0,  1,  1,  1,  1,  1,  3,  1,  0,  2,  1,  1,  0,  1,  0,  1,  1,  1,  1,  0,  1,  1,  2,  1,  1,  3,  0,  0,  0,  2,  0,  2,  1,
52,  0,  1,  2,  0,  1,  2,  1,  0,  1,  0,  1,  1,  3,  1,  0,  0,  0,  2,  0,  1,  1,  3,  1,  0,  3,  0,  0,  0,  0,  0,  0,  1,  1,  2,  1,  2,  1,  0,  3,  1,  1,  0,  1,  1,  1,  0,  1,  0,  1,  1,  1,   ,  1,  1,  0,  1,  1,  1,  2,  1,  0,  1,  1,  0,  2,  0,  0,  0,  2,  2,  3,  0,  0,  2,  0,  0,  3,  2,  0,  1,  0,  1,  0,  1,  2,  1,  0,  1,  1,  1,  0,  1,  0,  0,  2,  1,  0,  0,  1,  0,  1,  0,  2,  1,  1,  1,  4,  0,  2,  0,  2,  1,  0,  0,  1,  1,  0,  2,  1,  0,  1,  0,  1,  1,  1,  3,  0,  1,  1,  1,  0,  3,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  2,  0,  1,  1,  1,  0,  1,  0,  0,  2,  1,
53,  1,  2,  1,  0,  1,  1,  1,  0,  0,  1,  1,  3,  0,  1,  0,  1,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0,  2,  0,  1,  1,  0,  2,  0,  1,  1,  0,  0,  0,  2,  0,  0,  1,  2,  1,  1,  1,  1,  0,  1,  0,  1,  1,   ,  1,  2,  2,  1,  0,  0,  1,  3,  1,  2,  2,  1,  2,  0,  0,  2,  0,  0,  0,  1,  0,  1,  1,  1,  2,  1,  0,  1,  0,  3,  1,  0,  0,  1,  1,  0,  2,  0,  1,  1,  2,  1,  1,  1,  1,  1,  1,  2,  0,  0,  1,  1,  0,  1,  0,  2,  0,  1,  1,  0,  3,  3,  1,  1,  0,  0,  1,  1,  2,  0,  1,  4,  0,  1,  0,  1,  1,  1,  2,  0,  0,  1,  0,  1,  0,  1,  2,  0,  1,  1,  2,  0,  0,  0,  1,  1,  0,  0,  2,  1,  2,
54,  0,  0,  2,  0,  1,  1,  1,  1,  1,  1,  3,  1,  1,  0,  1,  1,  2,  0,  1,  0,  1,  0,  0,  1,  1,  1,  1,  1,  2,  0,  0,  0,  1,  1,  0,  1,  2,  1,  0,  0,  0,  0,  2,  2,  0,  0,  1,  0,  4,  0,  2,  1,  1,   ,  0,  1,  1,  1,  0,  1,  1,  1,  1,  1,  0,  0,  0,  1,  1,  2,  1,  1,  1,  0,  1,  0,  1,  1,  0,  0,  2,  2,  1,  2,  0,  2,  2,  0,  0,  1,  1,  0,  2,  0,  1,  0,  1,  0,  1,  2,  1,  2,  2,  0,  1,  2,  2,  0,  1,  1,  0,  3,  1,  1,  0,  0,  0,  2,  0,  2,  0,  1,  0,  0,  1,  2,  2,  2,  2,  2,  2,  1,  0,  0,  0,  2,  0,  0,  1,  1,  0,  0,  3,  1,  1,  0,  1,  3,  0,  0,  0,  0,  2,  1,
55,  0,  1,  0,  1,  0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0,  2,  1,  0,  2,  0,  2,  0,  1,  0,  1,  1,  0,  2,  0,  2,  1,  2,  0,  0,  2,  1,  2,  1,  1,  2,  1,  2,  0,  0,  1,  2,  2,  1,  0,  1,  2,  0,  2,  0,   ,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  3,  1,  1,  1,  0,  2,  2,  0,  0,  2,  1,  0,  0,  2,  2,  3,  1,  2,  0,  1,  1,  0,  2,  1,  1,  0,  3,  0,  0,  1,  1,  2,  3,  1,  1,  0,  1,  1,  1,  0,  1,  0,  2,  0,  0,  1,  0,  1,  2,  2,  0,  3,  0,  1,  1,  3,  1,  0,  2,  2,  0,  0,  1,  0,  1,  1,  0,  1,  2,  2,  0,  1,  0,  1,  2,  1,  1,  1,  1,  0,  1,  2,  0,  0,  0,  1,  1,  0,  1,
56,  1,  1,  2,  1,  0,  1,  1,  1,  1,  1,  1,  2,  1,  0,  0,  2,  1,  1,  2,  0,  0,  0,  1,  1,  1,  1,  2,  1,  1,  1,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  1,  1,  2,  1,  0,  0,  1,  2,  0,  1,  2,  1,  1,   ,  1,  0,  1,  1,  1,  0,  1,  1,  2,  0,  1,  1,  2,  1,  2,  1,  1,  0,  2,  1,  0,  1,  0,  1,  1,  1,  2,  0,  3,  0,  2,  1,  1,  0,  0,  0,  0,  2,  0,  1,  1,  0,  2,  0,  1,  0,  1,  1,  2,  1,  1,  0,  1,  0,  1,  3,  0,  2,  1,  0,  2,  1,  0,  2,  1,  3,  0,  0,  1,  1,  0,  1,  1,  1,  0,  2,  2,  1,  0,  1,  0,  0,  1,  1,  2,  2,  1,  0,  0,  0,  0,  1,  2,  0,  0,  2,  0,  3,
57,  0,  1,  1,  1,  1,  1,  0,  0,  2,  0,  2,  2,  0,  1,  0,  1,  2,  0,  1,  0,  1,  2,  0,  2,  0,  1,  0,  1,  1,  2,  0,  2,  0,  3,  0,  1,  0,  1,  1,  0,  1,  1,  2,  1,  0,  2,  1,  0,  1,  1,  0,  1,  1,  1,  1,  1,   ,  0,  1,  0,  1,  1,  0,  1,  0,  1,  1,  2,  1,  1,  1,  1,  1,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1,  0,  2,  2,  1,  0,  2,  1,  1,  1,  1,  0,  0,  0,  1,  2,  0,  0,  2,  2,  1,  1,  1,  2,  1,  0,  1,  2,  0,  1,  0,  1,  1,  1,  1,  0,  0,  1,  2,  3,  1,  1,  1,  1,  1,  0,  1,  0,  1,  1,  0,  1,  0,  2,  1,  1,  0,  0,  2,  0,  1,  1,  0,  0,  0,  1,  0,  2,  0,  0,  1,  0,
58,  1,  0,  1,  2,  1,  0,  1,  1,  1,  2,  2,  1,  1,  1,  1,  0,  1,  1,  1,  3,  0,  2,  0,  1,  2,  0,  1,  2,  1,  0,  3,  1,  2,  0,  1,  1,  0,  2,  0,  1,  3,  2,  1,  0,  0,  1,  1,  2,  1,  0,  4,  1,  0,  1,  1,  0,  0,   ,  1,  1,  1,  1,  1,  0,  4,  2,  2,  0,  0,  0,  1,  1,  0,  2,  2,  0,  0,  1,  1,  3,  0,  1,  1,  1,  1,  0,  0,  0,  1,  3,  1,  1,  0,  1,  1,  3,  1,  0,  1,  2,  1,  1,  0,  0,  2,  0,  1,  3,  1,  1,  1,  0,  1,  1,  0,  1,  0,  0,  1,  2,  1,  0,  1,  1,  0,  2,  1,  3,  1,  0,  0,  1,  1,  0,  2,  0,  2,  1,  1,  1,  1,  1,  0,  1,  1,  1,  3,  0,  0,  0,  3,  0,  1,  0,
59,  0,  1,  1,  0,  0,  1,  1,  1,  2,  0,  1,  0,  1,  3,  1,  1,  1,  1,  1,  1,  1,  3,  1,  0,  1,  1,  0,  0,  0,  0,  1,  2,  1,  0,  2,  0,  1,  1,  2,  2,  2,  0,  0,  1,  2,  1,  1,  1,  0,  0,  1,  2,  0,  0,  1,  1,  1,  1,   ,  1,  1,  0,  1,  0,  1,  1,  1,  1,  2,  0,  4,  2,  1,  1,  0,  0,  1,  2,  1,  2,  0,  0,  0,  0,  2,  1,  1,  1,  1,  0,  1,  4,  1,  0,  1,  2,  0,  2,  3,  0,  1,  1,  0,  3,  1,  0,  1,  0,  0,  0,  0,  1,  0,  0,  1,  1,  1,  1,  2,  1,  2,  0,  1,  1,  0,  1,  0,  2,  1,  0,  0,  0,  2,  2,  1,  0,  1,  0,  0,  1,  0,  2,  1,  0,  0,  1,  1,  0,  0,  3,  0,  1,  0,  0,
60,  1,  1,  1,  0,  0,  0,  2,  0,  0,  0,  0,  0,  1,  2,  2,  1,  1,  1,  0,  1,  1,  0,  4,  2,  1,  0,  0,  1,  1,  1,  3,  0,  0,  1,  0,  0,  1,  1,  0,  1,  1,  2,  0,  1,  2,  3,  1,  1,  1,  2,  1,  1,  1,  1,  1,  1,  0,  1,  1,   ,  1,  1,  0,  1,  2,  0,  3,  1,  2,  2,  0,  2,  0,  1,  1,  0,  0,  1,  1,  1,  2,  0,  1,  3,  1,  1,  0,  1,  0,  2,  0,  2,  1,  0,  0,  1,  1,  0,  1,  1,  0,  3,  0,  2,  1,  0,  2,  1,  0,  0,  3,  1,  0,  0,  1,  2,  0,  2,  1,  0,  1,  0,  0,  3,  2,  1,  0,  1,  0,  1,  1,  1,  1,  1,  1,  3,  1,  0,  1,  0,  0,  1,  0,  1,  2,  0,  0,  1,  1,  1,  0,  0,  0,  2,
61,  1,  1,  0,  0,  1,  1,  1,  0,  0,  2,  1,  2,  0,  1,  2,  1,  1,  1,  1,  0,  1,  0,  1,  2,  0,  0,  3,  0,  1,  0,  1,  1,  1,  1,  1,  1,  0,  2,  1,  1,  0,  0,  2,  1,  1,  0,  1,  1,  1,  1,  1,  0,  3,  1,  1,  1,  1,  1,  1,  1,   ,  1,  1,  1,  1,  3,  1,  1,  2,  1,  0,  0,  1,  0,  2,  2,  0,  1,  2,  0,  0,  1,  1,  1,  0,  1,  0,  1,  0,  1,  1,  1,  2,  2,  1,  1,  1,  1,  1,  2,  1,  1,  0,  1,  2,  0,  0,  0,  0,  0,  0,  0,  0,  3,  1,  1,  1,  1,  1,  1,  0,  2,  0,  0,  2,  0,  2,  0,  0,  1,  0,  2,  0,  2,  1,  1,  1,  0,  0,  3,  1,  2,  0,  1,  0,  0,  1,  1,  1,  1,  0,  2,  1,  0,
62,  1,  1,  0,  2,  0,  1,  1,  1,  0,  0,  0,  1,  2,  1,  1,  0,  0,  0,  1,  1,  0,  1,  1,  1,  1,  2,  0,  0,  0,  1,  1,  1,  1,  2,  0,  3,  1,  1,  0,  1,  1,  1,  2,  1,  2,  2,  0,  2,  0,  1,  1,  1,  1,  1,  1,  0,  1,  1,  0,  1,  1,   ,  1,  1,  0,  2,  2,  1,  0,  3,  1,  0,  1,  1,  0,  2,  1,  1,  1,  0,  1,  2,  1,  2,  1,  1,  0,  0,  1,  2,  0,  1,  1,  1,  1,  1,  1,  0,  0,  1,  1,  1,  1,  1,  0,  2,  1,  1,  1,  2,  2,  0,  0,  1,  2,  1,  0,  1,  0,  0,  2,  2,  1,  1,  1,  1,  1,  1,  0,  1,  2,  0,  0,  2,  1,  1,  1,  0,  1,  0,  2,  0,  0,  1,  0,  1,  0,  2,  1,  0,  1,  0,  0,  1,
63,  0,  1,  1,  2,  0,  2,  1,  1,  0,  1,  1,  2,  1,  0,  1,  0,  1,  0,  2,  2,  0,  1,  0,  0,  2,  2,  1,  0,  1,  0,  0,  0,  3,  1,  1,  0,  1,  2,  1,  1,  0,  0,  1,  1,  0,  1,  0,  1,  1,  1,  1,  1,  2,  1,  1,  1,  0,  1,  1,  0,  1,  1,   ,  1,  1,  1,  1,  1,  0,  0,  1,  1,  2,  3,  0,  1,  1,  1,  1,  1,  1,  0,  2,  1,  0,  0,  1,  0,  1,  0,  0,  1,  2,  1,  2,  0,  0,  1,  1,  1,  1,  0,  1,  1,  1,  1,  0,  3,  2,  0,  0,  1,  0,  1,  1,  0,  1,  0,  1,  1,  0,  1,  1,  2,  1,  0,  2,  0,  3,  1,  0,  0,  1,  2,  1,  0,  2,  1,  1,  0,  0,  0,  1,  0,  1,  2,  1,  1,  0,  1,  1,  0,  0,  1,
64,  0,  2,  0,  0,  1,  0,  0,  2,  1,  0,  1,  0,  0,  1,  0,  0,  1,  0,  0,  0,  1,  0,  2,  0,  0,  0,  2,  1,  3,  3,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  3,  0,  2,  2,  1,  2,  1,  1,  1,  2,  0,  2,  1,  1,  1,  1,  0,  0,  1,  1,  1,  1,   ,  0,  1,  0,  2,  1,  1,  0,  0,  4,  0,  0,  0,  1,  0,  0,  0,  3,  2,  3,  1,  0,  0,  1,  0,  1,  1,  0,  1,  2,  3,  1,  0,  1,  1,  1,  1,  3,  0,  1,  2,  0,  2,  0,  0,  0,  2,  1,  1,  2,  0,  1,  0,  0,  2,  0,  1,  1,  1,  1,  2,  3,  1,  1,  1,  1,  0,  2,  0,  0,  1,  2,  0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  0,  0,  0,  1,  1,  0,  0,  2,  2,
65,  2,  1,  2,  1,  0,  0,  1,  1,  1,  2,  1,  2,  1,  1,  0,  0,  1,  2,  0,  2,  0,  1,  1,  2,  3,  0,  1,  2,  1,  0,  2,  0,  1,  1,  1,  1,  0,  1,  0,  0,  2,  2,  0,  0,  0,  1,  1,  1,  0,  1,  3,  2,  1,  0,  1,  2,  0,  4,  1,  2,  1,  0,  1,  0,   ,  1,  1,  0,  1,  1,  1,  1,  0,  2,  2,  1,  0,  1,  0,  3,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1,  0,  1,  0,  1,  1,  2,  0,  0,  1,  1,  0,  1,  0,  0,  3,  0,  2,  3,  1,  0,  1,  1,  1,  2,  1,  0,  0,  1,  1,  1,  0,  1,  1,  1,  0,  2,  0,  2,  1,  1,  0,  2,  2,  0,  2,  1,  2,  1,  1,  1,  0,  2,  0,  0,  1,  1,  2,  0,  1,  0,  2,  1,  0,  1,
66,  0,  0,  0,  1,  0,  1,  1,  1,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  1,  2,  1,  0,  1,  1,  0,  1,  1,  1,  0,  2,  3,  0,  1,  1,  2,  1,  0,  1,  2,  2,  1,  1,  1,  0,  0,  2,  2,  0,  1,  1,  0,  2,  0,  3,  0,  1,  2,  1,  0,  3,  2,  1,  1,  1,   ,  1,  0,  1,  1,  1,  1,  1,  0,  1,  1,  0,  0,  2,  1,  0,  2,  1,  1,  1,  2,  0,  2,  0,  1,  0,  2,  1,  2,  1,  2,  0,  2,  1,  2,  2,  2,  0,  0,  0,  0,  0,  1,  0,  1,  1,  0,  1,  3,  1,  1,  1,  0,  1,  1,  2,  1,  0,  0,  2,  0,  1,  2,  0,  0,  0,  0,  1,  2,  3,  1,  1,  0,  1,  2,  2,  1,  1,  0,  0,  1,  1,  1,  0,  0,  2,  1,  0,  0,
67,  1,  0,  0,  3,  0,  0,  2,  0,  1,  0,  0,  0,  1,  1,  3,  1,  1,  1,  2,  2,  0,  1,  2,  2,  0,  1,  0,  2,  1,  1,  4,  1,  1,  1,  0,  0,  0,  3,  0,  2,  2,  1,  0,  0,  1,  4,  1,  3,  0,  1,  0,  0,  0,  0,  1,  1,  1,  2,  1,  3,  1,  2,  1,  0,  1,  1,   ,  1,  1,  0,  1,  1,  1,  2,  2,  0,  0,  1,  2,  1,  1,  0,  0,  2,  2,  0,  0,  0,  2,  2,  0,  1,  2,  1,  0,  2,  1,  0,  1,  0,  1,  2,  0,  1,  0,  2,  0,  2,  0,  1,  2,  0,  0,  0,  1,  3,  1,  1,  1,  0,  2,  1,  1,  2,  0,  1,  1,  1,  0,  0,  0,  0,  0,  2,  1,  1,  2,  0,  1,  0,  2,  1,  0,  0,  1,  1,  0,  0,  1,  1,  1,  0,  0,  0,
68,  1,  1,  1,  0,  0,  0,  0,  2,  0,  0,  2,  0,  0,  1,  1,  0,  3,  0,  1,  0,  1,  0,  1,  1,  0,  3,  1,  0,  2,  1,  1,  0,  0,  1,  1,  1,  1,  1,  0,  2,  0,  1,  1,  1,  3,  0,  1,  1,  1,  2,  0,  0,  0,  1,  1,  1,  2,  0,  1,  1,  1,  1,  1,  2,  0,  0,  1,   ,  1,  1,  0,  1,  1,  0,  0,  2,  0,  2,  2,  1,  1,  1,  2,  1,  0,  1,  1,  0,  1,  0,  0,  1,  2,  1,  0,  0,  0,  2,  2,  1,  1,  1,  3,  2,  0,  1,  0,  1,  1,  3,  0,  1,  0,  0,  0,  1,  1,  1,  1,  1,  0,  2,  1,  2,  1,  2,  1,  0,  1,  1,  2,  0,  0,  3,  1,  1,  0,  1,  1,  0,  1,  1,  1,  0,  0,  0,  1,  0,  2,  2,  0,  0,  0,  1,
69,  0,  0,  1,  0,  1,  0,  0,  1,  1,  0,  0,  1,  1,  1,  1,  2,  1,  0,  1,  0,  1,  1,  2,  0,  1,  1,  0,  1,  1,  0,  1,  2,  0,  2,  2,  0,  0,  1,  3,  1,  0,  0,  1,  0,  2,  0,  2,  1,  0,  1,  1,  2,  2,  1,  1,  2,  1,  0,  2,  2,  2,  0,  0,  1,  1,  1,  1,  1,   ,  1,  1,  1,  1,  0,  0,  0,  1,  2,  2,  1,  1,  1,  1,  0,  2,  0,  1,  2,  0,  1,  0,  1,  2,  0,  1,  2,  0,  1,  1,  0,  2,  0,  0,  2,  1,  1,  2,  0,  1,  0,  1,  3,  1,  1,  1,  2,  2,  3,  1,  0,  0,  0,  0,  0,  2,  0,  0,  2,  0,  0,  1,  2,  2,  1,  0,  1,  1,  0,  0,  1,  0,  2,  1,  1,  0,  0,  0,  0,  0,  1,  0,  2,  2,  1,
70,  1,  0,  1,  0,  1,  1,  1,  1,  0,  0,  0,  1,  2,  0,  0,  1,  0,  0,  0,  0,  1,  0,  2,  1,  2,  1,  0,  0,  0,  1,  0,  0,  0,  2,  0,  3,  3,  0,  0,  0,  0,  1,  2,  2,  1,  0,  0,  1,  2,  2,  0,  2,  0,  2,  0,  1,  1,  0,  0,  2,  1,  3,  0,  1,  1,  1,  0,  1,  1,   ,  1,  1,  1,  0,  0,  2,  2,  1,  0,  0,  2,  2,  0,  3,  1,  2,  1,  1,  0,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  2,  0,  2,  1,  0,  1,  1,  3,  0,  1,  2,  1,  1,  1,  1,  0,  0,  0,  3,  0,  0,  0,  2,  0,  0,  1,  1,  0,  1,  1,  2,  1,  1,  1,  1,  2,  3,  0,  0,  1,  0,  1,  0,  0,  0,  2,  0,  0,  3,  1,  0,  0,  0,  1,  1,
71,  0,  1,  1,  1,  0,  1,  1,  1,  2,  0,  1,  0,  2,  1,  0,  2,  0,  1,  2,  1,  1,  2,  0,  0,  2,  1,  0,  1,  0,  1,  0,  1,  1,  0,  2,  1,  2,  1,  2,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  3,  0,  1,  2,  2,  1,  1,  4,  0,  0,  1,  1,  0,  1,  1,  1,  0,  1,  1,   ,  1,  0,  1,  1,  0,  2,  1,  0,  2,  1,  1,  0,  1,  2,  1,  1,  1,  2,  0,  0,  2,  0,  0,  2,  2,  1,  1,  2,  0,  0,  1,  1,  2,  0,  2,  2,  0,  0,  0,  0,  1,  0,  0,  1,  0,  2,  1,  1,  0,  2,  1,  1,  1,  0,  2,  0,  2,  1,  1,  0,  0,  2,  1,  1,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1,  0,  1,  0,  1,  0,  0,
72,  0,  0,  0,  0,  0,  0,  2,  0,  1,  0,  0,  0,  0,  1,  1,  2,  1,  1,  2,  0,  1,  1,  1,  1,  1,  2,  0,  1,  0,  0,  2,  1,  0,  0,  2,  1,  2,  0,  1,  1,  3,  1,  0,  2,  1,  2,  0,  1,  1,  2,  1,  0,  0,  1,  2,  1,  1,  1,  2,  2,  0,  0,  1,  0,  1,  1,  1,  1,  1,  1,  1,   ,  1,  0,  2,  1,  0,  0,  1,  3,  2,  1,  0,  2,  2,  1,  1,  0,  0,  0,  1,  2,  0,  0,  0,  1,  0,  2,  0,  2,  1,  2,  1,  1,  1,  0,  1,  2,  0,  0,  1,  1,  1,  1,  0,  1,  2,  0,  1,  2,  1,  0,  0,  2,  1,  0,  0,  3,  0,  2,  0,  0,  1,  1,  1,  2,  1,  0,  2,  0,  0,  2,  0,  0,  2,  0,  2,  1,  1,  1,  1,  1,  0,  0,
73,  0,  0,  0,  1,  1,  0,  0,  2,  2,  0,  0,  0,  0,  1,  1,  0,  0,  0,  1,  0,  0,  1,  1,  0,  0,  1,  2,  1,  3,  1,  0,  1,  1,  1,  0,  0,  1,  1,  0,  0,  1,  1,  0,  3,  1,  2,  1,  2,  1,  1,  1,  0,  1,  1,  0,  1,  1,  0,  1,  0,  1,  1,  2,  4,  0,  1,  1,  1,  1,  1,  0,  1,   ,  1,  0,  0,  1,  0,  0,  0,  2,  2,  1,  1,  1,  0,  1,  0,  1,  0,  1,  1,  3,  3,  1,  0,  0,  1,  1,  1,  4,  0,  1,  0,  1,  2,  0,  1,  0,  1,  0,  1,  2,  0,  1,  0,  0,  2,  0,  2,  1,  0,  1,  0,  2,  1,  2,  1,  1,  0,  1,  0,  0,  2,  2,  0,  2,  0,  0,  0,  1,  0,  1,  0,  1,  1,  0,  0,  1,  1,  0,  0,  2,  1,
74,  1,  2,  1,  3,  1,  2,  2,  2,  0,  1,  1,  1,  1,  0,  1,  0,  0,  1,  1,  3,  1,  1,  0,  1,  2,  1,  0,  1,  1,  0,  1,  0,  3,  1,  0,  1,  0,  2,  2,  1,  0,  1,  0,  0,  1,  2,  2,  1,  1,  0,  1,  2,  0,  0,  0,  0,  0,  2,  1,  1,  0,  1,  3,  0,  2,  0,  2,  0,  0,  0,  1,  0,  1,   ,  0,  0,  1,  1,  0,  1,  0,  0,  1,  1,  1,  1,  0,  1,  1,  1,  1,  1,  1,  1,  3,  1,  0,  0,  0,  1,  0,  1,  1,  1,  1,  1,  0,  3,  2,  0,  1,  1,  0,  0,  2,  0,  0,  0,  2,  0,  1,  0,  1,  2,  0,  2,  2,  0,  2,  1,  0,  1,  2,  1,  1,  0,  3,  2,  1,  1,  1,  1,  1,  2,  2,  4,  1,  1,  1,  2,  2,  1,  2,  1,
75,  2,  1,  0,  1,  2,  0,  2,  0,  2,  2,  1,  1,  1,  0,  2,  1,  1,  2,  2,  1,  0,  0,  1,  2,  1,  0,  3,  2,  1,  2,  2,  1,  2,  0,  0,  2,  0,  2,  0,  0,  2,  1,  1,  0,  0,  2,  0,  1,  1,  1,  2,  0,  1,  1,  2,  2,  1,  2,  0,  1,  2,  0,  0,  0,  2,  1,  2,  0,  0,  0,  1,  2,  0,  0,   ,  1,  1,  0,  1,  1,  1,  1,  0,  1,  1,  0,  0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  2,  0,  0,  2,  0,  1,  0,  1,  2,  1,  0,  1,  0,  0,  1,  0,  2,  2,  1,  1,  2,  1,  1,  2,  1,  2,  0,  1,  0,  0,  2,  1,  0,  1,  0,  2,  0,  0,  1,  1,  0,  1,  2,  2,  1,  2,  1,  1,  1,  0,  2,  0,  2,  0,  1,  2,  1,  0,
76,  2,  1,  1,  0,  1,  3,  1,  1,  1,  2,  0,  3,  1,  1,  1,  1,  1,  2,  2,  1,  0,  0,  0,  3,  1,  2,  1,  0,  0,  0,  0,  0,  0,  1,  1,  2,  1,  0,  0,  1,  0,  0,  2,  0,  1,  0,  0,  0,  0,  2,  0,  0,  1,  0,  1,  1,  1,  0,  0,  0,  2,  2,  1,  0,  1,  1,  0,  2,  0,  2,  0,  1,  0,  0,  1,   ,  1,  1,  1,  1,  1,  1,  0,  1,  0,  1,  1,  1,  0,  1,  1,  0,  1,  1,  0,  0,  2,  1,  1,  1,  0,  1,  1,  0,  1,  0,  1,  2,  1,  2,  0,  0,  0,  3,  1,  1,  1,  0,  1,  1,  0,  3,  0,  1,  0,  0,  0,  0,  0,  3,  2,  2,  0,  2,  1,  1,  1,  1,  2,  1,  2,  2,  0,  0,  0,  0,  2,  1,  3,  1,  0,  2,  0,  0,
